replicate ,temp,age_gp,inoc,CollD5,RhizD5,coinfectedD5,plaD5,tillersD5,CollD7,RhizD7,coinfectedD7,plaD7,tillersD7,CollD10,RhizD10,coinfectedD10,plaD10,tillersD10,CollD12,RhizD12,coinfectedD12,plaD12,tillersD12,CollD15,RhizD15,coinfectedD15,plaD15,tillersD15,CollD20,RhizD20,coinfectedD20,plaD20,tillersD20,dry.biomass,plant_ID
4,21,y,rc,0,0,0,100,1,0,0,0,100,1,0,0,0,100,0,0,1,0,100,0,0,1,0,100,0,1,1,0,100,0,0,447
2,21,y,rc,0,0,0,100,1,0,0,0,100,1,0,0,0,100,0,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,,226
4,21,y,r,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,,475
4,21,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,50,1,1,0,0,75,1,1,0,0,50,1,,410
4,21,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,50,1,1,0,0,75,1,1,0,0,50,1,,474
6,21,y,r,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,0,1,0,100,0,0,684
4,21,o,r,0,1,0,25,3,0,1,0,25,3,0,1,0,12.5,3,0,1,0,20,3,0,1,0,50,3,0,1,0,80,3,0.19,497
6,21,o,r,0,1,0,25,3,0,1,0,25,3,0,1,0,12.5,3,0,1,0,20,3,0,1,0,50,3,0,1,0,80,3,0.19,691
2,21,y,rc,0,1,0,40,0,0,1,0,50,1,1,1,1,75,1,1,1,1,75,1,1,1,1,75,1,1,1,1,75,1,,193
2,21,y,r,0,1,0,50,1,0,1,0,50,1,0,1,0,50,1,0,1,0,75,1,0,1,0,75,1,0,1,0,75,1,0.35,181
4,21,y,r,0,0,0,0,2,0,1,0,50,2,0,1,0,50,3,0,1,0,50,3,0,1,0,50,3,0,1,0,75,3,,468
6,21,y,rc,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,15,1,1,0,0,25,3,0.23,708
6,21,y,r,0,1,0,10,1,0,1,0,45,2,0,1,0,50,1,0,1,0,50,2,0,1,0,75,2,0,1,0,75,2,0.44,680
6,21,y,rc,0,0,0,1,1,0,0,0,0,1,0,0,0,10,1,0,0,0,25,1,0,0,0,50,1,1,1,1,50,3,,697
6,21,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,20,2,1,0,0,20,2,,892
6,21,o,rc,0,1,0,10,3,0,1,0,30,3,1,1,1,80,3,1,1,1,80,3,1,1,1,75,3,1,1,1,50,3,5.36,703
2,21,o,rc,0,1,0,10,4,0,1,0,10,4,0,1,0,15,4,0,1,0,15,4,0,1,0,50,4,0,1,0,50,4,,234
4,21,y,rc,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,25,1,1,0,0,20,3,,443
2,21,o,r,0,1,0,25,4,0,1,0,40,4,0,1,0,5,4,0,1,0,15,4,0,1,0,20,4,0,1,0,50,4,,238
2,21,y,rc,0,1,0,10,1,0,0,0,25,2,0,1,0,25,2,0,1,0,50,2,0,1,0,50,2,0,1,0,50,3,0.34,195
